     WAVE 	               FLUX	
     3000.200000	       71530.000000	
     3000.500000	       73160.000000	
     3000.800000	       75550.000000	
     3001.100000	       78590.000000	
     3001.400000	       82230.000000	
     3001.700000	       86370.000000	
     3002.000000	       91400.000000	
     3002.300000	       97980.000000	
     3002.600000	      107100.000000	
     3002.900000	      120100.000000	
     3003.200000	      138000.000000	
     3003.500000	      161100.000000	
     3003.800000	      189100.000000	
     3004.100000	      220100.000000	
     3004.400000	      251500.000000	
     3004.700000	      279900.000000	
     3005.000000	      301800.000000	
     3005.300000	      314000.000000	
     3005.600000	      314500.000000	
     3005.900000	      303000.000000	
     3006.200000	      280700.000000	
     3006.500000	      250800.000000	
     3006.800000	      217400.000000	
     3007.100000	      185100.000000	
     3007.400000	      157600.000000	
     3007.700000	      137600.000000	
     3008.000000	      126500.000000	
     3008.300000	      124800.000000	
     3008.600000	      132600.000000	
     3008.900000	      149300.000000	
     3009.200000	      173900.000000	
     3009.500000	      204100.000000	
     3009.800000	      236700.000000	
     3010.100000	      267100.000000	
     3010.400000	      290900.000000	
     3010.700000	      305100.000000	
     3011.000000	      309200.000000	
     3011.300000	      305600.000000	
     3011.600000	      298500.000000	
     3011.900000	      292400.000000	
     3012.200000	      289900.000000	
     3012.500000	      291300.000000	
     3012.800000	      294400.000000	
     3013.100000	      296500.000000	
     3013.400000	      294800.000000	
     3013.700000	      288200.000000	
     3014.000000	      277100.000000	
     3014.300000	      263100.000000	
     3014.600000	      248400.000000	
     3014.900000	      234700.000000	
     3015.200000	      222800.000000	
     3015.500000	      212700.000000	
     3015.800000	      203600.000000	
     3016.100000	      194500.000000	
     3016.400000	      184400.000000	
     3016.700000	      173100.000000	
     3017.000000	      160600.000000	
     3017.300000	      147500.000000	
     3017.600000	      134500.000000	
     3017.900000	      122000.000000	
     3018.200000	      110400.000000	
     3018.500000	       99570.000000	
     3018.800000	       89450.000000	
     3019.100000	       79920.000000	
     3019.400000	       71070.000000	
     3019.700000	       63250.000000	
     3020.000000	       57000.000000	
     3020.300000	       53040.000000	
     3020.600000	       52180.000000	
     3020.900000	       55010.000000	
     3021.200000	       61700.000000	
     3021.500000	       71820.000000	
     3021.800000	       84370.000000	
     3022.100000	       97970.000000	
     3022.400000	      111100.000000	
     3022.700000	      122300.000000	
     3023.000000	      130700.000000	
     3023.300000	      135800.000000	
     3023.600000	      137700.000000	
     3023.900000	      136900.000000	
     3024.200000	      134100.000000	
     3024.500000	      130200.000000	
     3024.800000	      126600.000000	
     3025.100000	      125400.000000	
     3025.400000	      129000.000000	
     3025.700000	      139900.000000	
     3026.000000	      160500.000000	
     3026.300000	      191900.000000	
     3026.600000	      233400.000000	
     3026.900000	      282600.000000	
     3027.200000	      335500.000000	
     3027.500000	      386700.000000	
     3027.800000	      430600.000000	
     3028.100000	      461800.000000	
     3028.400000	      476600.000000	
     3028.700000	      473600.000000	
     3029.000000	      454600.000000	
     3029.300000	      423700.000000	
     3029.600000	      386800.000000	
     3029.900000	      350600.000000	
     3030.200000	      320800.000000	
     3030.500000	      302500.000000	
     3030.800000	      299200.000000	
     3031.100000	      313500.000000	
     3031.400000	      346200.000000	
     3031.700000	      395300.000000	
     3032.000000	      456200.000000	
     3032.300000	      521500.000000	
     3032.600000	      583100.000000	
     3032.900000	      634100.000000	
     3033.200000	      670000.000000	
     3033.500000	      690300.000000	
     3033.800000	      696800.000000	
     3034.100000	      692700.000000	
     3034.400000	      680100.000000	
     3034.700000	      659100.000000	
     3035.000000	      628100.000000	
     3035.300000	      584800.000000	
     3035.600000	      528900.000000	
     3035.900000	      462600.000000	
     3036.200000	      391000.000000	
     3036.500000	      321300.000000	
     3036.800000	      260700.000000	
     3037.100000	      214900.000000	
     3037.400000	      187000.000000	
     3037.700000	      177800.000000	
     3038.000000	      184500.000000	
     3038.300000	      202900.000000	
     3038.600000	      227300.000000	
     3038.900000	      252100.000000	
     3039.200000	      272600.000000	
     3039.500000	      285600.000000	
     3039.800000	      290000.000000	
     3040.100000	      286400.000000	
     3040.400000	      276900.000000	
     3040.700000	      264000.000000	
     3041.000000	      250800.000000	
     3041.300000	      240400.000000	
     3041.600000	      235800.000000	
     3041.900000	      239800.000000	
     3042.200000	      254000.000000	
     3042.500000	      278500.000000	
     3042.800000	      311000.000000	
     3043.100000	      347500.000000	
     3043.400000	      382800.000000	
     3043.700000	      411900.000000	
     3044.000000	      431100.000000	
     3044.300000	      438500.000000	
     3044.600000	      434000.000000	
     3044.900000	      418900.000000	
     3045.200000	      395100.000000	
     3045.500000	      364400.000000	
     3045.800000	      328900.000000	
     3046.100000	      290800.000000	
     3046.400000	      252900.000000	
     3046.700000	      218400.000000	
     3047.000000	      190800.000000	
     3047.300000	      173400.000000	
